tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Guaruja,A,1988-01-25,Hard,R32,3,Eliot Teltscher,Ivan Kley,7-5 6-2,22,251,,
Guaruja,A,1988-01-25,Hard,R32,3,Patrick Baur,Dacio Campos,7-5 6-4,182,317,,
Guaruja,A,1988-01-25,Hard,R32,3,Charles Bud Cox,Cesar Kist,6-2 6-4,232,205,,
Guaruja,A,1988-01-25,Hard,R32,3,Pablo Arraya,Ricardo Acuna,6-4 6-4,139,190,,
Guaruja,A,1988-01-25,Hard,R32,3,Javier Frana,Jose Daher,7-6 7-6,138,157,,
Guaruja,A,1988-01-25,Hard,R32,3,Danilo Marcelino,Gustavo Garetto,6-4 6-3,252,204,,
Guaruja,A,1988-01-25,Hard,R32,3,Givaldo Barbosa,Roberto Saad,6-4 7-5,217,189,,
Guaruja,A,1988-01-25,Hard,R32,3,Diego Perez,Julio Goes,4-6 6-0 6-3,116,165,,
Guaruja,A,1988-01-25,Hard,R32,3,Marcelo Filippini,Mauro Menezes,6-0 6-4,119,481,,
Guaruja,A,1988-01-25,Hard,R32,3,Martin Wostenholme,Nelson Aerts,6-4 6-1,250,408,,
Guaruja,A,1988-01-25,Hard,R32,3,Roberto Arguello,Blaine Willenborg,7-5 3-6 6-3,170,143,,
Guaruja,A,1988-01-25,Hard,R32,3,Lawson Duncan,Alexandre Hocevar,6-3 6-1,87,392,,
Guaruja,A,1988-01-25,Hard,R32,3,Cassio Motta,Markus Rackl,6-1 6-2,125,172,,
Guaruja,A,1988-01-25,Hard,R32,3,Ricardo Acioly,Daniel Montes De Oca,6-3 6-2,596,234,,
Guaruja,A,1988-01-25,Hard,R32,3,Otavio Della,Ronnie Bathman,6-4 3-6 6-2,684,270,,
Guaruja,A,1988-01-25,Hard,R32,3,Luiz Mattar,David Kass,6-3 6-3,38,631,,
Guaruja,A,1988-01-25,Hard,R16,3,Eliot Teltscher,Patrick Baur,6-3 6-3,22,182,,
Guaruja,A,1988-01-25,Hard,R16,3,Pablo Arraya,Charles Bud Cox,6-3 6-3,139,232,,
Guaruja,A,1988-01-25,Hard,R16,3,Danilo Marcelino,Javier Frana,7-5 6-2,252,138,,
Guaruja,A,1988-01-25,Hard,R16,3,Diego Perez,Givaldo Barbosa,6-3 6-3,116,217,,
Guaruja,A,1988-01-25,Hard,R16,3,Martin Wostenholme,Marcelo Filippini,2-6 7-6 RET,250,119,,
Guaruja,A,1988-01-25,Hard,R16,3,Roberto Arguello,Lawson Duncan,6-2 6-4,170,87,,
Guaruja,A,1988-01-25,Hard,R16,3,Cassio Motta,Ricardo Acioly,6-3 7-5,125,596,,
Guaruja,A,1988-01-25,Hard,R16,3,Luiz Mattar,Otavio Della,6-3 6-2,38,684,,
Guaruja,A,1988-01-25,Hard,QF,3,Eliot Teltscher,Pablo Arraya,6-1 7-5,22,139,,
Guaruja,A,1988-01-25,Hard,QF,3,Danilo Marcelino,Diego Perez,4-6 6-3 6-4,252,116,,
Guaruja,A,1988-01-25,Hard,QF,3,Martin Wostenholme,Roberto Arguello,6-2 7-6,250,170,,
Guaruja,A,1988-01-25,Hard,QF,3,Luiz Mattar,Cassio Motta,6-0 6-2,38,125,,
Guaruja,A,1988-01-25,Hard,SF,3,Eliot Teltscher,Danilo Marcelino,6-1 6-4,22,252,,
Guaruja,A,1988-01-25,Hard,SF,3,Luiz Mattar,Martin Wostenholme,6-3 6-3,38,250,,
Guaruja,A,1988-01-25,Hard,F,3,Luiz Mattar,Eliot Teltscher,6-3 6-3,38,22,,
Schenectady,A,1988-07-18,Hard,R32,3,Tim Mayotte,Mark Basham,6-2 7-5,11,374,,
Schenectady,A,1988-07-18,Hard,R32,3,Glenn Layendecker,Christian Geyer,6-4 6-1,289,200,,
Schenectady,A,1988-07-18,Hard,R32,3,Philip Johnson,Steve Devries,3-6 6-3 6-1,185,248,,
Schenectady,A,1988-07-18,Hard,R32,3,Leonardo Lavalle,Michael Robertson,6-4 7-6,203,179,,
Schenectady,A,1988-07-18,Hard,R32,3,Gianluca Pozzi,Michael Kures,2-6 7-6 6-4,276,114,,
Schenectady,A,1988-07-18,Hard,R32,3,Pete Sampras,Wolfgang Popp,6-2 6-1,286,242,,
Schenectady,A,1988-07-18,Hard,R32,3,Doug Burke,Jim Gurfein,6-3 6-4,265,233,,
Schenectady,A,1988-07-18,Hard,R32,3,Martin Blackman,Martin Laurendeau,6-7 6-4 6-2,,157,,
Schenectady,A,1988-07-18,Hard,R32,3,Richard Matuszewski,Alexander Mronz,6-4 6-4,155,218,,
