tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Arantxa Sanchez Vicario,Fang Li,6-2 6-0,2,50,311,31
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Tami Whitlinger Jones,Petra Begerow,6-2 6-4,51,104,29,15
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Christina Singer,Marketa Kochta,6-1 6-3,81,80,19,19
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Zina Garrison,Kerry Anne Guse,3-6 6-2 6-3,23,176,58,7
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Meike Babel,Mana Endo,6-4 6-2,45,33,34,47
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Chanda Rubin,Kristine Kunce,6-1 6-2,24,58,57,26
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Karina Habsudova,Natalia Baudone,6-4 6-2,29,103,48,15
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Natalia Medvedeva,Magdalena Maleeva,4-6 7-5 6-3,60,11,25,95
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Mary Joe Fernandez,Els Callens,7-5 6-4,19,114,67,13
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Linda Wild,Pam Shriver,6-3 6-0,48,62,32,25
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Ruxandra Dragomir Ilie,Sandra Dopfer,7-5 4-6 6-4,74,92,21,17
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Amanda Coetzer,Angeles Montolio,6-2 6-2,18,109,68,13
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Naoko Sawamatsu,Ai Sugiyama,6-3 6-3,26,75,55,21
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Laurence Courtois,Katerina Kroupova,7-6(2) 6-2,107,178,14,7
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Patty Fendick,Ann Grossman,6-1 6-2,53,37,28,42
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Kimiko Date Krumm,Elena Likhovtseva,6-2 6-2,9,52,109,28
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Jana Novotna,Patricia Hy Boulais,6-2 3-6 6-0,4,64,164,24
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Helena Sukova,Meredith Mcgrath,6-3 6-1,21,36,65,43
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Lisa Raymond,Yuka Yoshida,6-4 6-2,44,212,35,5
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Kristin Godridge,Nana Smith,6-7(4) 6-2 6-1,196,54,6,28
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Angelica Gavaldon,Yvette Basting,6-2 6-0,96,135,16,11
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Joannette Kruger,Mariaan De Swardt,4-6 6-3 6-4,79,102,20,15
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Silke Meier,Jane Taylor,7-6(13) 2-6 6-2,115,208,13,5
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Lori Mcneil,Alexia Dechaume Balleret,6-3 6-3,17,70,71,22
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Audra Keller,Sabine Hack,7-5 1-6 6-0,162,13,8,80
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Barbara Paulus,Emanuela Zardo,7-6(3) 6-0,110,87,13,18
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Sabine Appelmans,Laura Golarsa,6-2 6-4,25,128,56,11
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Radka Bobkova,Petra Schwarz,7-5 6-3,82,57,19,26
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Elena Makarova,Tatiana Ignatieva,6-0 6-1,49,112,31,13
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Radomira Zrubakova,Nicole Arendt,6-4 6-1,71,66,21,23
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Sung Hee Park,Leila Meskhi,0-6 7-6(4) 6-2,105,28,14,51
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Marianne Werdel Witmeyer,Gabriela Sabatini,6-4 6-4,47,6,32,148
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Natalia Zvereva,Alexandra Fusai,6-4 6-0,8,94,123,17
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Silvia Farina Elia,Gigi Fernandez,7-5 6-2,56,30,27,48
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Judith Wiesner,Rika Hiraki,6-1 6-7(6) 6-0,22,217,61,5
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Shaun Stafford,Anne Miller,6-3 6-4,55,210,27,5
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Kyoko Nagatsuka,Barbara Schett,6-0 6-4,72,98,21,16
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Martina Hingis,Jolene Watanabe,6-0 7-6(2),73,90,21,17
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Sandra Cacic,Asa Carlsson,6-2 6-2,59,68,26,22
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Amy Frazier,Annabel Ellwood,6-0 6-2,16,171,73,7
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Anke Huber,Ludmila Richterova,6-2 6-4,10,101,99,15
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Siobhan Drake Brockman,Naoko Kijimuta,2-6 6-4 6-3,237,151,4,9
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Nicole Bradtke,Katarina Studenikova,6-0 6-1,91,119,17,12
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Yayuk Basuki,Ginger Helgeson,3-6 6-1 6-4,27,31,52,47
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Patricia Tarabini,Nicole Pratt,6-0 6-1,106,222,14,5
Australian Open,Grand Slam,1995-01-16,Hard,R128,3,Dally Randriantefy,Florencia Labat,6-3 7-6(5),243,43,4,35
