year,slam,winner,country,slam_num
1968,AO,Billie Jean Moffitt King,,1
1968,RG,Nancy Richey,,2
1968,Wim,Billie Jean Moffitt King,,3
1968,US,Virginia Wade,,4
1969,AO,Margaret Smith Court,,5
1969,RG,Margaret Smith Court,,6
1969,Wim,Ann Haydon Jones,,7
1969,US,Margaret Smith Court,,8
1970,AO,Margaret Smith Court,,9
1970,RG,Margaret Smith Court,,10
1970,Wim,Margaret Smith Court,,11
1970,US,Margaret Smith Court,,12
1971,AO,Margaret Smith Court,,13
1971,RG,Evonne Goolagong Cawley,,14
1971,Wim,Evonne Goolagong Cawley,,15
1971,US,Billie Jean Moffitt King,,16
1972,AO,Virginia Wade,,17
1972,RG,Billie Jean Moffitt King,,18
1972,Wim,Billie Jean Moffitt King,,19
1972,US,Billie Jean Moffitt King,,20
1973,AO,Margaret Smith Court,,21
1973,RG,Margaret Smith Court,,22
1973,Wim,Billie Jean Moffitt King,,23
1973,US,Margaret Smith Court,,24
1974,AO,Evonne Goolagong Cawley,,25
1974,RG,Chris Evert,,26
1974,Wim,Chris Evert,,27
1974,US,Billie Jean Moffitt King,,28
1975,AO,Evonne Goolagong Cawley,,29
1975,RG,Chris Evert,,30
1975,Wim,Billie Jean Moffitt King,,31
1975,US,Chris Evert,,32
1976,AO,Evonne Goolagong Cawley,,33
1976,RG,Sue Barker,,34
1976,Wim,Chris Evert,,35
1976,US,Chris Evert,,36
1977,AO,Kerry Melville Reid,,37
1977,RG,Mima Jaušovec,,38
1977,Wim,Virginia Wade,,39
1977,US,Chris Evert,,40
1977,AO,Evonne Goolagong Cawley,,41
1978,AO,Chris O'Neil,,42
1978,RG,Virginia Ruzici,,43
1978,Wim,Martina Navratilova,,44
1978,US,Chris Evert,,45
1979,AO,Barbara Jordan,,46
1979,RG,Chris Evert,,47
1979,Wim,Martina Navratilova,,48
1979,US,Tracy Austin,,49
1980,AO,Hana Mandlíková,,50
1980,RG,Chris Evert,,51
1980,Wim,Evonne Goolagong Cawley,,52
1980,US,Chris Evert,,53
1981,AO,Martina Navratilova,,54
1981,RG,Hana Mandlíková,,55
1981,Wim,Chris Evert,,56
1981,US,Tracy Austin,,57
1982,AO,Chris Evert,,58
1982,RG,Martina Navratilova,,59
1982,Wim,Martina Navratilova,,60
1982,US,Chris Evert,,61
1983,AO,Martina Navratilova,,62
1983,RG,Chris Evert,,63
1983,Wim,Martina Navratilova,,64
1983,US,Martina Navratilova,,65
1984,AO,Chris Evert,,66
1984,RG,Martina Navratilova,,67
1984,Wim,Martina Navratilova,,68
1984,US,Martina Navratilova,,69
1985,AO,Martina Navratilova,,70
1985,RG,Chris Evert,,71
1985,Wim,Martina Navratilova,,72
1985,US,Hana Mandlíková,,73
1986,RG,Chris Evert,,74
1986,Wim,Martina Navratilova,,75
1986,US,Martina Navratilova,,76
1987,AO,Hana Mandlíková,,77
1987,RG,Steffi Graf,,78
1987,Wim,Martina Navratilova,,79
1987,US,Martina Navratilova,,80
1988,AO,Steffi Graf,,81
1988,RG,Steffi Graf,,82
1988,Wim,Steffi Graf,,83
1988,US,Steffi Graf,,84
1989,AO,Steffi Graf,,85
1989,RG,Arantxa Sánchez Vicario,,86
1989,Wim,Steffi Graf,,87
1989,US,Steffi Graf,,88
1990,AO,Steffi Graf,,89
1990,RG,Monica Seles,,90
1990,Wim,Martina Navratilova,,91
1990,US,Gabriela Sabatini,,92
1991,AO,Monica Seles,,93
1991,RG,Monica Seles,,94
1991,Wim,Steffi Graf,,95
1991,US,Monica Seles,,96
1992,AO,Monica Seles,,97
1992,RG,Monica Seles,,98
1992,Wim,Steffi Graf,,99
1992,US,Monica Seles,,100
1993,AO,Monica Seles,,101
1993,RG,Steffi Graf,,102
1993,Wim,Steffi Graf,,103
1993,US,Steffi Graf,,104
1994,AO,Steffi Graf,,105
1994,RG,Arantxa Sánchez Vicario,,106
1994,Wim,Conchita Martínez,,107
1994,US,Arantxa Sánchez Vicario,,108
1995,AO,Mary Pierce,,109
1995,RG,Steffi Graf,,110
1995,Wim,Steffi Graf,,111
1995,US,Steffi Graf,,112
1996,AO,Monica Seles,,113
1996,RG,Steffi Graf,,114
1996,Wim,Steffi Graf,,115
1996,US,Steffi Graf,,116
1997,AO,Martina Hingis,,117
1997,RG,Iva Majoli,,118
1997,Wim,Martina Hingis,,119
1997,US,Martina Hingis,,120
1998,AO,Martina Hingis,,121
1998,RG,Arantxa Sánchez Vicario,,122
1998,Wim,Jana Novotná,,123
1998,US,Lindsay Davenport,,124
1999,AO,Martina Hingis,,125
1999,RG,Steffi Graf,,126
1999,Wim,Lindsay Davenport,,127
1999,US,Serena Williams,,128
2000,AO,Lindsay Davenport,,129
2000,RG,Mary Pierce,,130
2000,Wim,Venus Williams,,131
2000,US,Venus Williams,,132
2001,AO,Jennifer Capriati,,133
2001,RG,Jennifer Capriati,,134
2001,Wim,Venus Williams,,135
2001,US,Venus Williams,,136
2002,AO,Jennifer Capriati,,137
2002,RG,Serena Williams,,138
2002,Wim,Serena Williams,,139
2002,US,Serena Williams,,140
2003,AO,Serena Williams,,141
2003,RG,Justine Henin,,142
2003,Wim,Serena Williams,,143
2003,US,Justine Henin,,144
2004,AO,Justine Henin,,145
2004,RG,Anastasia Myskina,,146
2004,Wim,Maria Sharapova,,147
2004,US,Svetlana Kuznetsova,,148
2005,AO,Serena Williams,,149
2005,RG,Justine Henin,,150
2005,Wim,Venus Williams,,151
2005,US,Kim Clijsters,,152
2006,AO,Amélie Mauresmo,,153
2006,RG,Justine Henin,,154
2006,Wim,Amélie Mauresmo,,155
2006,US,Maria Sharapova,,156
2007,AO,Serena Williams,,157
2007,RG,Justine Henin,,158
2007,Wim,Venus Williams,,159
2007,US,Justine Henin,,160
2008,AO,Maria Sharapova,,161
2008,RG,Ana Ivanovic,,162
2008,Wim,Venus Williams,,163
2008,US,Serena Williams,,164
2009,AO,Serena Williams,,165
2009,RG,Svetlana Kuznetsova,,166
2009,Wim,Serena Williams,,167
2009,US,Kim Clijsters,,168
2010,AO,Serena Williams,,169
2010,RG,Francesca Schiavone,,170
2010,Wim,Serena Williams,,171
2010,US,Kim Clijsters,,172
2011,AO,Kim Clijsters,,173
2011,RG,Li Na,,174
2011,Wim,Petra Kvitová,,175
2011,US,Samantha Stosur,,176
2012,AO,Victoria Azarenka,,177
2012,RG,Maria Sharapova,,178
2012,Wim,Serena Williams,,179
2012,US,Serena Williams,,180
2013,AO,Victoria Azarenka,,181
2013,RG,Serena Williams,,182
2013,Wim,Marion Bartoli,,183
2013,US,Serena Williams,,184
2014,AO,Li Na,,185
2014,RG,Maria Sharapova,,186
2014,Wim,Petra Kvitová,,187
2014,US,Serena Williams,,188
2015,AO,Serena Williams,,189
2015,RG,Serena Williams,,190
2015,Wim,Serena Williams,,191
2015,US,Flavia Pennetta,,192
2016,AO,Angelique Kerber,,193
2016,RG,Garbiñe Muguruza,,194
2016,Wim,Serena Williams,,195
2016,US,Angelique Kerber,,196
2017,AO,Serena Williams,,197
2017,RG,Jeļena Ostapenko,,198
2017,Wim,Garbiñe Muguruza,,199
2017,US,Sloane Stephens,,200
2018,AO,Caroline Wozniacki,,201
2018,RG,Simona Halep,,202
